"indicationgroupid","indicationid"
"207","63514"
"207","63534"
"207","63544"
"207","72824"
"207","77994"
"207","78014"
"207","78274"
"207","79554"
"207","86464"
"208","11104"
"208","11114"
"208","36314"
"208","36464"
"208","36474"
"208","36484"
"208","66054"
"208","91094"
"209","2464"
"209","3511"
"209","11404"
"209","20954"
"209","26814"
"209","26864"
"209","35254"
"209","64744"
"209","67194"
"209","68914"
"209","74984"
"210","3781"
"210","7141"
"210","11474"
"210","11841"
"210","14674"
"210","14694"
"210","14704"
"210","20373"
"210","31644"
"210","38054"
"210","43344"
"210","45024"
"210","63714"
"210","77874"
"210","80694"
"210","81354"
"210","81704"
"212","2714"
"214","14204"
"214","14214"
"214","14224"
"214","14234"
"214","36974"
"214","36984"
"214","39284"
"214","57674"
"214","81974"
"217","12144"
"217","12174"
"217","15244"
"217","15254"
"217","16194"
"217","30994"
"217","59264"
"217","60484"
"217","60564"
"217","60874"
"217","61004"
"217","66474"
"217","66484"
"217","69234"
"217","73034"
"217","74674"
"217","74684"
"217","74864"
"217","78634"
"217","80454"
"217","81264"
"217","81564"
"217","84534"
"217","86634"
"217","86724"
"217","86734"
"217","88424"
"217","88724"
"217","88964"
"217","90334"
"217","90784"
"217","90844"
"217","91144"
"217","91154"
"217","91164"
"218","26794"
"219","16714"
"219","31964"
"219","59074"
"220","4984"
"220","12544"
"220","12554"
"220","23394"
"220","25184"
"220","36444"
"220","36694"
"220","38924"
"220","38934"
"220","38944"
"220","40604"
"220","43964"
"220","43974"
"220","57614"
"220","57624"
"220","57644"
"220","62094"
"220","62104"
"220","62114"
"220","62134"
"220","63434"
"220","65604"
"220","68544"
"220","69264"
"220","69274"
"220","69464"
"220","69524"
"220","69534"
"220","70264"
"220","78654"
"220","79674"
"220","86174"
"220","86184"
"220","86194"
"220","90894"
"223","214"
"223","754"
"223","764"
"223","1663"
"223","26124"
"223","30134"
"223","34914"
"223","35054"
"223","35724"
"223","37464"
"223","37614"
"223","43814"
"223","64254"
"223","64524"
"223","66924"
"223","69474"
"223","82744"
"223","82754"
"223","86934"
"226","41424"
"226","41514"
"227","12364"
"228","1761"
"228","7341"
"228","10314"
"228","13084"
"228","16274"
"228","16281"
"228","22864"
"228","28364"
"228","28594"
"228","28724"
"228","28734"
"228","34014"
"228","36154"
"228","38094"
"228","38134"
"228","38204"
"228","44304"
"228","57624"
"228","58304"
"228","59044"
"228","68144"
"228","69654"
"228","70824"
"228","78254"
"228","79094"
"228","80014"
"228","82004"
"228","82144"
"230","23784"
"230","23814"
"230","28564"
"230","28574"
"230","31762"
"230","33734"
"230","37654"
"230","37914"
"230","37934"
"230","37944"
"230","37954"
"230","58144"
"230","58154"
"230","74214"
"230","78374"
"230","79704"
"231","26634"
"231","39344"
"231","72064"
"231","72094"
"231","78174"
"231","79574"
"231","80364"
"231","82164"
"232","4334"
"232","14564"
"232","28324"
"234","3824"
"234","4684"
"234","5334"
"234","6934"
"234","9984"
"234","24514"
"234","35244"
"234","36524"
"234","37364"
"234","59004"
"234","59024"
"234","61344"
"234","61394"
"234","61404"
"234","61634"
"234","62304"
"234","72274"
"234","77924"
"234","79964"
"234","79974"
"234","79984"
"234","81734"
"234","81744"
"234","83634"
"234","83744"
"234","88914"
"235","4734"
"235","5174"
"235","6431"
"235","16823"
"235","28024"
"235","29834"
"235","33544"
"235","33674"
"235","78994"
"235","82374"
"236","11044"
"236","31794"
"236","35214"
"236","58054"
"236","65364"
"236","79114"
"236","90594"
"237","9414"
"237","20733"
"237","31573"
"237","32904"
"237","72964"
"237","78024"
"237","78034"
"237","92554"
"238","12134"
"238","12534"
"238","13314"
"238","13334"
"238","13414"
"238","14224"
"238","15874"
"238","39284"
"238","39294"
"238","43854"
"238","43884"
"238","57674"
"238","58094"
"238","58604"
"238","59504"
"238","81964"
"238","91084"
"241","64444"
"241","81634"
"241","81884"
"242","8814"
"243","31764"
"243","39464"
"243","39474"
"243","73764"
"243","82564"
"243","83794"
"243","86664"
"243","88574"
"243","88584"
"244","18273"
"244","59114"
"245","484"
"245","18814"
"245","22754"
"245","37664"
"245","81394"
"246","21244"
"246","58194"
"246","58204"
"246","87104"
"249","174"
"249","3191"
"249","4264"
"249","18243"
"249","20764"
"249","37324"
"249","43354"
"249","60234"
"251","7963"
"251","12134"
"252","10284"
"252","11914"
"252","13314"
"252","13334"
"252","14424"
"252","28374"
"252","36154"
"252","36964"
"252","39284"
"252","43854"
"252","57674"
"252","58094"
"252","74994"
"252","90084"
"255","324"
"257","32174"
"260","14964"
"260","16444"
